group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aggregate_signature_shares,,,,,1688719.0,ns,1
aggregate_signature_shares,,,,,2243198.0,ns,2
aggregate_signature_shares,,,,,3722206.0,ns,3
aggregate_signature_shares,,,,,5590500.0,ns,4
aggregate_signature_shares,,,,,5538085.0,ns,5
aggregate_signature_shares,,,,,8227383.0,ns,6
aggregate_signature_shares,,,,,7931911.0,ns,7
aggregate_signature_shares,,,,,9433444.0,ns,8
aggregate_signature_shares,,,,,10691561.0,ns,9
aggregate_signature_shares,,,,,12314096.0,ns,10
aggregate_signature_shares,,,,,13284159.0,ns,11
aggregate_signature_shares,,,,,14150869.0,ns,12
aggregate_signature_shares,,,,,14989920.0,ns,13
aggregate_signature_shares,,,,,17287779.0,ns,14
aggregate_signature_shares,,,,,18306227.0,ns,15
aggregate_signature_shares,,,,,18144752.0,ns,16
aggregate_signature_shares,,,,,20314909.0,ns,17
aggregate_signature_shares,,,,,20306229.0,ns,18
aggregate_signature_shares,,,,,22917759.0,ns,19
aggregate_signature_shares,,,,,23771492.0,ns,20
aggregate_signature_shares,,,,,26044605.0,ns,21
aggregate_signature_shares,,,,,25285668.0,ns,22
aggregate_signature_shares,,,,,26730253.0,ns,23
aggregate_signature_shares,,,,,27156527.0,ns,24
aggregate_signature_shares,,,,,28421024.0,ns,25
aggregate_signature_shares,,,,,29929424.0,ns,26
aggregate_signature_shares,,,,,30501378.0,ns,27
aggregate_signature_shares,,,,,32774351.0,ns,28
aggregate_signature_shares,,,,,37102292.0,ns,29
aggregate_signature_shares,,,,,41143954.0,ns,30
aggregate_signature_shares,,,,,46290440.0,ns,31
aggregate_signature_shares,,,,,39368293.0,ns,32
aggregate_signature_shares,,,,,39143200.0,ns,33
aggregate_signature_shares,,,,,39931516.0,ns,34
aggregate_signature_shares,,,,,41412039.0,ns,35
aggregate_signature_shares,,,,,41333275.0,ns,36
aggregate_signature_shares,,,,,42848502.0,ns,37
aggregate_signature_shares,,,,,43316641.0,ns,38
aggregate_signature_shares,,,,,45099527.0,ns,39
aggregate_signature_shares,,,,,46246370.0,ns,40
aggregate_signature_shares,,,,,47600593.0,ns,41
aggregate_signature_shares,,,,,48926844.0,ns,42
aggregate_signature_shares,,,,,49867852.0,ns,43
aggregate_signature_shares,,,,,51876161.0,ns,44
aggregate_signature_shares,,,,,51934430.0,ns,45
aggregate_signature_shares,,,,,54385267.0,ns,46
aggregate_signature_shares,,,,,55232535.0,ns,47
aggregate_signature_shares,,,,,54755310.0,ns,48
aggregate_signature_shares,,,,,55866395.0,ns,49
aggregate_signature_shares,,,,,61953928.0,ns,50
aggregate_signature_shares,,,,,58547436.0,ns,51
aggregate_signature_shares,,,,,62267065.0,ns,52
aggregate_signature_shares,,,,,61870960.0,ns,53
aggregate_signature_shares,,,,,61768169.0,ns,54
aggregate_signature_shares,,,,,63963452.0,ns,55
aggregate_signature_shares,,,,,64240202.0,ns,56
aggregate_signature_shares,,,,,66065380.0,ns,57
aggregate_signature_shares,,,,,66553141.0,ns,58
aggregate_signature_shares,,,,,67089866.0,ns,59
aggregate_signature_shares,,,,,69353274.0,ns,60
aggregate_signature_shares,,,,,73137811.0,ns,61
aggregate_signature_shares,,,,,72700574.0,ns,62
aggregate_signature_shares,,,,,71228138.0,ns,63
aggregate_signature_shares,,,,,73863306.0,ns,64
aggregate_signature_shares,,,,,80139069.0,ns,65
aggregate_signature_shares,,,,,77259857.0,ns,66
aggregate_signature_shares,,,,,77420743.0,ns,67
aggregate_signature_shares,,,,,80549882.0,ns,68
aggregate_signature_shares,,,,,81729858.0,ns,69
aggregate_signature_shares,,,,,84995099.0,ns,70
aggregate_signature_shares,,,,,84489047.0,ns,71
aggregate_signature_shares,,,,,84734961.0,ns,72
aggregate_signature_shares,,,,,90073563.0,ns,73
aggregate_signature_shares,,,,,91775983.0,ns,74
aggregate_signature_shares,,,,,88447028.0,ns,75
aggregate_signature_shares,,,,,87158367.0,ns,76
aggregate_signature_shares,,,,,96135647.0,ns,77
aggregate_signature_shares,,,,,91849574.0,ns,78
aggregate_signature_shares,,,,,92807884.0,ns,79
aggregate_signature_shares,,,,,92871111.0,ns,80
aggregate_signature_shares,,,,,93094290.0,ns,81
aggregate_signature_shares,,,,,95141347.0,ns,82
aggregate_signature_shares,,,,,100211470.0,ns,83
aggregate_signature_shares,,,,,101207764.0,ns,84
aggregate_signature_shares,,,,,108552768.0,ns,85
aggregate_signature_shares,,,,,101973198.0,ns,86
aggregate_signature_shares,,,,,104045272.0,ns,87
aggregate_signature_shares,,,,,102467689.0,ns,88
aggregate_signature_shares,,,,,103043589.0,ns,89
aggregate_signature_shares,,,,,105357410.0,ns,90
aggregate_signature_shares,,,,,105294731.0,ns,91
aggregate_signature_shares,,,,,108122358.0,ns,92
aggregate_signature_shares,,,,,110656961.0,ns,93
aggregate_signature_shares,,,,,115434239.0,ns,94
aggregate_signature_shares,,,,,113084590.0,ns,95
aggregate_signature_shares,,,,,115176497.0,ns,96
aggregate_signature_shares,,,,,114316979.0,ns,97
aggregate_signature_shares,,,,,112687792.0,ns,98
aggregate_signature_shares,,,,,114687106.0,ns,99
aggregate_signature_shares,,,,,116323145.0,ns,100
