group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aggregate_verification_keys,,,,,63409764.0,ns,2
aggregate_verification_keys,,,,,59267934.0,ns,2
aggregate_verification_keys,,,,,62335729.0,ns,2
aggregate_verification_keys,,,,,63104398.0,ns,2
aggregate_verification_keys,,,,,63274059.0,ns,2
aggregate_verification_keys,,,,,60447387.0,ns,2
aggregate_verification_keys,,,,,55328995.0,ns,2
aggregate_verification_keys,,,,,54355501.0,ns,2
aggregate_verification_keys,,,,,56173930.0,ns,2
aggregate_verification_keys,,,,,59042438.0,ns,2
aggregate_verification_keys,,,,,56714771.0,ns,2
aggregate_verification_keys,,,,,57624925.0,ns,2
aggregate_verification_keys,,,,,54454314.0,ns,2
aggregate_verification_keys,,,,,54538485.0,ns,2
aggregate_verification_keys,,,,,57388634.0,ns,2
aggregate_verification_keys,,,,,55779322.0,ns,2
aggregate_verification_keys,,,,,54404146.0,ns,2
aggregate_verification_keys,,,,,56289710.0,ns,2
aggregate_verification_keys,,,,,55204409.0,ns,2
aggregate_verification_keys,,,,,54223293.0,ns,2
aggregate_verification_keys,,,,,54763783.0,ns,2
aggregate_verification_keys,,,,,56049764.0,ns,2
aggregate_verification_keys,,,,,60318633.0,ns,2
aggregate_verification_keys,,,,,54881164.0,ns,2
aggregate_verification_keys,,,,,54217872.0,ns,2
aggregate_verification_keys,,,,,54842976.0,ns,2
aggregate_verification_keys,,,,,54325115.0,ns,2
aggregate_verification_keys,,,,,55975355.0,ns,2
aggregate_verification_keys,,,,,54122743.0,ns,2
aggregate_verification_keys,,,,,64946648.0,ns,2
aggregate_verification_keys,,,,,67619453.0,ns,2
aggregate_verification_keys,,,,,56424133.0,ns,2
aggregate_verification_keys,,,,,58652534.0,ns,2
aggregate_verification_keys,,,,,55438700.0,ns,2
aggregate_verification_keys,,,,,55247950.0,ns,2
aggregate_verification_keys,,,,,54554749.0,ns,2
aggregate_verification_keys,,,,,54656030.0,ns,2
aggregate_verification_keys,,,,,55088997.0,ns,2
aggregate_verification_keys,,,,,56481178.0,ns,2
aggregate_verification_keys,,,,,55793495.0,ns,2
aggregate_verification_keys,,,,,58211275.0,ns,2
aggregate_verification_keys,,,,,55463621.0,ns,2
aggregate_verification_keys,,,,,55580816.0,ns,2
aggregate_verification_keys,,,,,56028794.0,ns,2
aggregate_verification_keys,,,,,55623473.0,ns,2
aggregate_verification_keys,,,,,54538350.0,ns,2
aggregate_verification_keys,,,,,57294650.0,ns,2
aggregate_verification_keys,,,,,55236523.0,ns,2
aggregate_verification_keys,,,,,54060016.0,ns,2
aggregate_verification_keys,,,,,55197254.0,ns,2
aggregate_verification_keys,,,,,57231142.0,ns,2
aggregate_verification_keys,,,,,54467269.0,ns,2
aggregate_verification_keys,,,,,62235842.0,ns,2
aggregate_verification_keys,,,,,55062940.0,ns,2
aggregate_verification_keys,,,,,55062860.0,ns,2
aggregate_verification_keys,,,,,55204190.0,ns,2
aggregate_verification_keys,,,,,55319870.0,ns,2
aggregate_verification_keys,,,,,58804089.0,ns,2
aggregate_verification_keys,,,,,59284311.0,ns,2
aggregate_verification_keys,,,,,54304967.0,ns,2
aggregate_verification_keys,,,,,54388046.0,ns,2
aggregate_verification_keys,,,,,54252732.0,ns,2
aggregate_verification_keys,,,,,60388709.0,ns,2
aggregate_verification_keys,,,,,63147363.0,ns,2
aggregate_verification_keys,,,,,63253315.0,ns,2
aggregate_verification_keys,,,,,63476032.0,ns,2
aggregate_verification_keys,,,,,62851023.0,ns,2
aggregate_verification_keys,,,,,60987698.0,ns,2
aggregate_verification_keys,,,,,56068387.0,ns,2
aggregate_verification_keys,,,,,55215007.0,ns,2
aggregate_verification_keys,,,,,55459463.0,ns,2
aggregate_verification_keys,,,,,53821249.0,ns,2
aggregate_verification_keys,,,,,54608821.0,ns,2
aggregate_verification_keys,,,,,54055684.0,ns,2
aggregate_verification_keys,,,,,55624694.0,ns,2
aggregate_verification_keys,,,,,57068102.0,ns,2
aggregate_verification_keys,,,,,54378910.0,ns,2
aggregate_verification_keys,,,,,54035216.0,ns,2
aggregate_verification_keys,,,,,54307775.0,ns,2
aggregate_verification_keys,,,,,54721312.0,ns,2
aggregate_verification_keys,,,,,54280270.0,ns,2
aggregate_verification_keys,,,,,56397572.0,ns,2
aggregate_verification_keys,,,,,62491123.0,ns,2
aggregate_verification_keys,,,,,62422881.0,ns,2
aggregate_verification_keys,,,,,54854519.0,ns,2
aggregate_verification_keys,,,,,60052579.0,ns,2
aggregate_verification_keys,,,,,55990794.0,ns,2
aggregate_verification_keys,,,,,55392027.0,ns,2
aggregate_verification_keys,,,,,53665493.0,ns,2
aggregate_verification_keys,,,,,54164487.0,ns,2
aggregate_verification_keys,,,,,55715748.0,ns,2
aggregate_verification_keys,,,,,55566896.0,ns,2
aggregate_verification_keys,,,,,54038157.0,ns,2
aggregate_verification_keys,,,,,55825896.0,ns,2
aggregate_verification_keys,,,,,53648258.0,ns,2
aggregate_verification_keys,,,,,54878301.0,ns,2
aggregate_verification_keys,,,,,54539373.0,ns,2
aggregate_verification_keys,,,,,58951691.0,ns,2
aggregate_verification_keys,,,,,57789598.0,ns,2
aggregate_verification_keys,,,,,61090057.0,ns,2
