group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
double pairing,,,,,55355326.0,ns,14
double pairing,,,,,51592706.0,ns,14
double pairing,,,,,52107028.0,ns,14
double pairing,,,,,53951779.0,ns,14
double pairing,,,,,52206330.0,ns,14
double pairing,,,,,52322573.0,ns,14
double pairing,,,,,51975546.0,ns,14
double pairing,,,,,59316245.0,ns,14
double pairing,,,,,55045835.0,ns,14
double pairing,,,,,53293429.0,ns,14
double pairing,,,,,53161431.0,ns,14
double pairing,,,,,52640214.0,ns,14
double pairing,,,,,52853312.0,ns,14
double pairing,,,,,56494012.0,ns,14
double pairing,,,,,58278878.0,ns,14
double pairing,,,,,53985905.0,ns,14
double pairing,,,,,52267676.0,ns,14
double pairing,,,,,52042133.0,ns,14
double pairing,,,,,52092642.0,ns,14
double pairing,,,,,51517795.0,ns,14
double pairing,,,,,51758051.0,ns,14
double pairing,,,,,51703488.0,ns,14
double pairing,,,,,52506179.0,ns,14
double pairing,,,,,51446325.0,ns,14
double pairing,,,,,51787277.0,ns,14
double pairing,,,,,57096503.0,ns,14
double pairing,,,,,54251489.0,ns,14
double pairing,,,,,55878211.0,ns,14
double pairing,,,,,56246014.0,ns,14
double pairing,,,,,58324798.0,ns,14
double pairing,,,,,52875527.0,ns,14
double pairing,,,,,56139177.0,ns,14
double pairing,,,,,56167658.0,ns,14
double pairing,,,,,52199566.0,ns,14
double pairing,,,,,58255666.0,ns,14
double pairing,,,,,52089567.0,ns,14
double pairing,,,,,54651405.0,ns,14
double pairing,,,,,52422360.0,ns,14
double pairing,,,,,52473692.0,ns,14
double pairing,,,,,51698772.0,ns,14
double pairing,,,,,52482055.0,ns,14
double pairing,,,,,53068931.0,ns,14
double pairing,,,,,53569139.0,ns,14
double pairing,,,,,52197549.0,ns,14
double pairing,,,,,53273994.0,ns,14
double pairing,,,,,53506287.0,ns,14
double pairing,,,,,52828104.0,ns,14
double pairing,,,,,52664000.0,ns,14
double pairing,,,,,53305708.0,ns,14
double pairing,,,,,52247985.0,ns,14
double pairing,,,,,55433151.0,ns,14
double pairing,,,,,55395411.0,ns,14
double pairing,,,,,54987254.0,ns,14
double pairing,,,,,54606998.0,ns,14
double pairing,,,,,58173841.0,ns,14
double pairing,,,,,55436126.0,ns,14
double pairing,,,,,52327571.0,ns,14
double pairing,,,,,52619067.0,ns,14
double pairing,,,,,56591924.0,ns,14
double pairing,,,,,56598381.0,ns,14
double pairing,,,,,53071447.0,ns,14
double pairing,,,,,52371359.0,ns,14
double pairing,,,,,53476693.0,ns,14
double pairing,,,,,53034922.0,ns,14
double pairing,,,,,53639932.0,ns,14
double pairing,,,,,52314251.0,ns,14
double pairing,,,,,53125627.0,ns,14
double pairing,,,,,52331653.0,ns,14
double pairing,,,,,55534049.0,ns,14
double pairing,,,,,53121894.0,ns,14
double pairing,,,,,54249698.0,ns,14
double pairing,,,,,52632113.0,ns,14
double pairing,,,,,53517266.0,ns,14
double pairing,,,,,53604561.0,ns,14
double pairing,,,,,52650560.0,ns,14
double pairing,,,,,52247947.0,ns,14
double pairing,,,,,52875810.0,ns,14
double pairing,,,,,52486934.0,ns,14
double pairing,,,,,54253125.0,ns,14
double pairing,,,,,52160771.0,ns,14
double pairing,,,,,52151775.0,ns,14
double pairing,,,,,51983947.0,ns,14
double pairing,,,,,51927441.0,ns,14
double pairing,,,,,53045256.0,ns,14
double pairing,,,,,55555006.0,ns,14
double pairing,,,,,57434350.0,ns,14
double pairing,,,,,58321834.0,ns,14
double pairing,,,,,64312309.0,ns,14
double pairing,,,,,61455392.0,ns,14
double pairing,,,,,59223669.0,ns,14
double pairing,,,,,59250738.0,ns,14
double pairing,,,,,58909577.0,ns,14
double pairing,,,,,60455668.0,ns,14
double pairing,,,,,61281845.0,ns,14
double pairing,,,,,61308143.0,ns,14
double pairing,,,,,60622890.0,ns,14
double pairing,,,,,56197161.0,ns,14
double pairing,,,,,56827115.0,ns,14
double pairing,,,,,60855941.0,ns,14
double pairing,,,,,61403481.0,ns,14
