group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
elgamal_keygen,,,,,1669346.0,ns,3
elgamal_keygen,,,,,2252590.0,ns,6
elgamal_keygen,,,,,4938099.0,ns,9
elgamal_keygen,,,,,4639090.0,ns,12
elgamal_keygen,,,,,5780340.0,ns,15
elgamal_keygen,,,,,7568701.0,ns,18
elgamal_keygen,,,,,7829714.0,ns,21
elgamal_keygen,,,,,9413919.0,ns,24
elgamal_keygen,,,,,9927755.0,ns,27
elgamal_keygen,,,,,12806779.0,ns,30
elgamal_keygen,,,,,13452972.0,ns,33
elgamal_keygen,,,,,14205707.0,ns,36
elgamal_keygen,,,,,15019953.0,ns,39
elgamal_keygen,,,,,16095578.0,ns,42
elgamal_keygen,,,,,17247158.0,ns,45
elgamal_keygen,,,,,18312844.0,ns,48
elgamal_keygen,,,,,18914714.0,ns,51
elgamal_keygen,,,,,20566053.0,ns,54
elgamal_keygen,,,,,21658732.0,ns,57
elgamal_keygen,,,,,22654511.0,ns,60
elgamal_keygen,,,,,24618227.0,ns,63
elgamal_keygen,,,,,25602298.0,ns,66
elgamal_keygen,,,,,25837419.0,ns,69
elgamal_keygen,,,,,28344117.0,ns,72
elgamal_keygen,,,,,28443156.0,ns,75
elgamal_keygen,,,,,29216244.0,ns,78
elgamal_keygen,,,,,30028637.0,ns,81
elgamal_keygen,,,,,31390236.0,ns,84
elgamal_keygen,,,,,32920347.0,ns,87
elgamal_keygen,,,,,33822583.0,ns,90
elgamal_keygen,,,,,35388399.0,ns,93
elgamal_keygen,,,,,37396898.0,ns,96
elgamal_keygen,,,,,37452159.0,ns,99
elgamal_keygen,,,,,37885262.0,ns,102
elgamal_keygen,,,,,41567604.0,ns,105
elgamal_keygen,,,,,40976282.0,ns,108
elgamal_keygen,,,,,46492523.0,ns,111
elgamal_keygen,,,,,44667360.0,ns,114
elgamal_keygen,,,,,44292340.0,ns,117
elgamal_keygen,,,,,45828799.0,ns,120
elgamal_keygen,,,,,46811495.0,ns,123
elgamal_keygen,,,,,51289437.0,ns,126
elgamal_keygen,,,,,48249183.0,ns,129
elgamal_keygen,,,,,49953535.0,ns,132
elgamal_keygen,,,,,52465215.0,ns,135
elgamal_keygen,,,,,52313779.0,ns,138
elgamal_keygen,,,,,54949715.0,ns,141
elgamal_keygen,,,,,54299202.0,ns,144
elgamal_keygen,,,,,55479276.0,ns,147
elgamal_keygen,,,,,55691163.0,ns,150
elgamal_keygen,,,,,58096232.0,ns,153
elgamal_keygen,,,,,57440006.0,ns,156
elgamal_keygen,,,,,61098477.0,ns,159
elgamal_keygen,,,,,62804634.0,ns,162
elgamal_keygen,,,,,62716833.0,ns,165
elgamal_keygen,,,,,63723251.0,ns,168
elgamal_keygen,,,,,65242571.0,ns,171
elgamal_keygen,,,,,68828747.0,ns,174
elgamal_keygen,,,,,72325801.0,ns,177
elgamal_keygen,,,,,68830593.0,ns,180
elgamal_keygen,,,,,69317584.0,ns,183
elgamal_keygen,,,,,72796943.0,ns,186
elgamal_keygen,,,,,75682779.0,ns,189
elgamal_keygen,,,,,74695027.0,ns,192
elgamal_keygen,,,,,73984065.0,ns,195
elgamal_keygen,,,,,74622715.0,ns,198
elgamal_keygen,,,,,75611770.0,ns,201
elgamal_keygen,,,,,75955900.0,ns,204
elgamal_keygen,,,,,79161596.0,ns,207
elgamal_keygen,,,,,79944021.0,ns,210
elgamal_keygen,,,,,82272702.0,ns,213
elgamal_keygen,,,,,84358350.0,ns,216
elgamal_keygen,,,,,90546345.0,ns,219
elgamal_keygen,,,,,98959165.0,ns,222
elgamal_keygen,,,,,89349531.0,ns,225
elgamal_keygen,,,,,86317793.0,ns,228
elgamal_keygen,,,,,86784306.0,ns,231
elgamal_keygen,,,,,88262549.0,ns,234
elgamal_keygen,,,,,90357344.0,ns,237
elgamal_keygen,,,,,89654368.0,ns,240
elgamal_keygen,,,,,93958326.0,ns,243
elgamal_keygen,,,,,92169204.0,ns,246
elgamal_keygen,,,,,96035065.0,ns,249
elgamal_keygen,,,,,97606039.0,ns,252
elgamal_keygen,,,,,95567952.0,ns,255
elgamal_keygen,,,,,98239013.0,ns,258
elgamal_keygen,,,,,98090936.0,ns,261
elgamal_keygen,,,,,100141221.0,ns,264
elgamal_keygen,,,,,99736371.0,ns,267
elgamal_keygen,,,,,101536319.0,ns,270
elgamal_keygen,,,,,102941873.0,ns,273
elgamal_keygen,,,,,107521320.0,ns,276
elgamal_keygen,,,,,109416821.0,ns,279
elgamal_keygen,,,,,107032092.0,ns,282
elgamal_keygen,,,,,107184857.0,ns,285
elgamal_keygen,,,,,109822800.0,ns,288
elgamal_keygen,,,,,110077082.0,ns,291
elgamal_keygen,,,,,109553461.0,ns,294
elgamal_keygen,,,,,112226931.0,ns,297
elgamal_keygen,,,,,117329574.0,ns,300
