group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
elgamal_keygen,,,,,1282809.0,ns,3
elgamal_keygen,,,,,2624308.0,ns,6
elgamal_keygen,,,,,3896657.0,ns,9
elgamal_keygen,,,,,5229558.0,ns,12
elgamal_keygen,,,,,6482664.0,ns,15
elgamal_keygen,,,,,7783612.0,ns,18
elgamal_keygen,,,,,9096084.0,ns,21
elgamal_keygen,,,,,10778404.0,ns,24
elgamal_keygen,,,,,11715091.0,ns,27
elgamal_keygen,,,,,12920662.0,ns,30
elgamal_keygen,,,,,14528350.0,ns,33
elgamal_keygen,,,,,13562595.0,ns,36
elgamal_keygen,,,,,14197875.0,ns,39
elgamal_keygen,,,,,15783011.0,ns,42
elgamal_keygen,,,,,16705343.0,ns,45
elgamal_keygen,,,,,19897090.0,ns,48
elgamal_keygen,,,,,19623856.0,ns,51
elgamal_keygen,,,,,19901766.0,ns,54
elgamal_keygen,,,,,22221657.0,ns,57
elgamal_keygen,,,,,25442842.0,ns,60
elgamal_keygen,,,,,23814744.0,ns,63
elgamal_keygen,,,,,25905613.0,ns,66
elgamal_keygen,,,,,25867512.0,ns,69
elgamal_keygen,,,,,27515044.0,ns,72
elgamal_keygen,,,,,28179291.0,ns,75
elgamal_keygen,,,,,29083386.0,ns,78
elgamal_keygen,,,,,31363971.0,ns,81
elgamal_keygen,,,,,32030617.0,ns,84
elgamal_keygen,,,,,33374489.0,ns,87
elgamal_keygen,,,,,35321954.0,ns,90
elgamal_keygen,,,,,36687538.0,ns,93
elgamal_keygen,,,,,36370173.0,ns,96
elgamal_keygen,,,,,37383921.0,ns,99
elgamal_keygen,,,,,38698365.0,ns,102
elgamal_keygen,,,,,40339009.0,ns,105
elgamal_keygen,,,,,42720649.0,ns,108
elgamal_keygen,,,,,42882377.0,ns,111
elgamal_keygen,,,,,43721495.0,ns,114
elgamal_keygen,,,,,45009466.0,ns,117
elgamal_keygen,,,,,45519284.0,ns,120
elgamal_keygen,,,,,47813081.0,ns,123
elgamal_keygen,,,,,53981700.0,ns,126
elgamal_keygen,,,,,55578289.0,ns,129
elgamal_keygen,,,,,52230928.0,ns,132
elgamal_keygen,,,,,52805398.0,ns,135
elgamal_keygen,,,,,55782335.0,ns,138
elgamal_keygen,,,,,53593418.0,ns,141
elgamal_keygen,,,,,55648605.0,ns,144
elgamal_keygen,,,,,56858177.0,ns,147
elgamal_keygen,,,,,59266546.0,ns,150
elgamal_keygen,,,,,59046274.0,ns,153
elgamal_keygen,,,,,59475176.0,ns,156
elgamal_keygen,,,,,60503295.0,ns,159
elgamal_keygen,,,,,62035446.0,ns,162
elgamal_keygen,,,,,64925850.0,ns,165
elgamal_keygen,,,,,64456245.0,ns,168
elgamal_keygen,,,,,66305226.0,ns,171
elgamal_keygen,,,,,67614783.0,ns,174
elgamal_keygen,,,,,73218087.0,ns,177
elgamal_keygen,,,,,67773398.0,ns,180
elgamal_keygen,,,,,71670505.0,ns,183
elgamal_keygen,,,,,75087821.0,ns,186
elgamal_keygen,,,,,73323535.0,ns,189
elgamal_keygen,,,,,76588969.0,ns,192
elgamal_keygen,,,,,82303710.0,ns,195
elgamal_keygen,,,,,79534071.0,ns,198
elgamal_keygen,,,,,80658880.0,ns,201
elgamal_keygen,,,,,79228094.0,ns,204
elgamal_keygen,,,,,88522905.0,ns,207
elgamal_keygen,,,,,85393106.0,ns,210
elgamal_keygen,,,,,89903235.0,ns,213
elgamal_keygen,,,,,94459485.0,ns,216
elgamal_keygen,,,,,85056472.0,ns,219
elgamal_keygen,,,,,94251728.0,ns,222
elgamal_keygen,,,,,86943506.0,ns,225
elgamal_keygen,,,,,88057661.0,ns,228
elgamal_keygen,,,,,90543445.0,ns,231
elgamal_keygen,,,,,91634392.0,ns,234
elgamal_keygen,,,,,97631302.0,ns,237
elgamal_keygen,,,,,96399626.0,ns,240
elgamal_keygen,,,,,93768317.0,ns,243
elgamal_keygen,,,,,96185364.0,ns,246
elgamal_keygen,,,,,99449497.0,ns,249
elgamal_keygen,,,,,97598855.0,ns,252
elgamal_keygen,,,,,101565493.0,ns,255
elgamal_keygen,,,,,98321779.0,ns,258
elgamal_keygen,,,,,100688504.0,ns,261
elgamal_keygen,,,,,101043938.0,ns,264
elgamal_keygen,,,,,105476105.0,ns,267
elgamal_keygen,,,,,107813229.0,ns,270
elgamal_keygen,,,,,103858125.0,ns,273
elgamal_keygen,,,,,109603850.0,ns,276
elgamal_keygen,,,,,110471843.0,ns,279
elgamal_keygen,,,,,110855718.0,ns,282
elgamal_keygen,,,,,107455045.0,ns,285
elgamal_keygen,,,,,111833869.0,ns,288
elgamal_keygen,,,,,112680962.0,ns,291
elgamal_keygen,,,,,112044570.0,ns,294
elgamal_keygen,,,,,114573368.0,ns,297
elgamal_keygen,,,,,115204655.0,ns,300
