group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi miller in affine,,,,,52695652.0,ns,19
multi miller in affine,,,,,52338815.0,ns,19
multi miller in affine,,,,,52742581.0,ns,19
multi miller in affine,,,,,52630995.0,ns,19
multi miller in affine,,,,,52552289.0,ns,19
multi miller in affine,,,,,52593833.0,ns,19
multi miller in affine,,,,,52714536.0,ns,19
multi miller in affine,,,,,52246767.0,ns,19
multi miller in affine,,,,,52292727.0,ns,19
multi miller in affine,,,,,52306021.0,ns,19
multi miller in affine,,,,,52282129.0,ns,19
multi miller in affine,,,,,52205870.0,ns,19
multi miller in affine,,,,,52221322.0,ns,19
multi miller in affine,,,,,52101072.0,ns,19
multi miller in affine,,,,,52306316.0,ns,19
multi miller in affine,,,,,52554226.0,ns,19
multi miller in affine,,,,,52340696.0,ns,19
multi miller in affine,,,,,52323854.0,ns,19
multi miller in affine,,,,,52275392.0,ns,19
multi miller in affine,,,,,49998868.0,ns,19
multi miller in affine,,,,,47002675.0,ns,19
multi miller in affine,,,,,50434409.0,ns,19
multi miller in affine,,,,,46613644.0,ns,19
multi miller in affine,,,,,46697099.0,ns,19
multi miller in affine,,,,,50111567.0,ns,19
multi miller in affine,,,,,45232149.0,ns,19
multi miller in affine,,,,,45659514.0,ns,19
multi miller in affine,,,,,46242465.0,ns,19
multi miller in affine,,,,,44107824.0,ns,19
multi miller in affine,,,,,44604059.0,ns,19
multi miller in affine,,,,,44781936.0,ns,19
multi miller in affine,,,,,45044787.0,ns,19
multi miller in affine,,,,,45601713.0,ns,19
multi miller in affine,,,,,44662271.0,ns,19
multi miller in affine,,,,,45426021.0,ns,19
multi miller in affine,,,,,43704158.0,ns,19
multi miller in affine,,,,,44644590.0,ns,19
multi miller in affine,,,,,47844861.0,ns,19
multi miller in affine,,,,,47332430.0,ns,19
multi miller in affine,,,,,44660310.0,ns,19
multi miller in affine,,,,,45186992.0,ns,19
multi miller in affine,,,,,45138932.0,ns,19
multi miller in affine,,,,,44911505.0,ns,19
multi miller in affine,,,,,48686289.0,ns,19
multi miller in affine,,,,,44702762.0,ns,19
multi miller in affine,,,,,45447171.0,ns,19
multi miller in affine,,,,,52447008.0,ns,19
multi miller in affine,,,,,48122708.0,ns,19
multi miller in affine,,,,,47708809.0,ns,19
multi miller in affine,,,,,46736727.0,ns,19
multi miller in affine,,,,,47538024.0,ns,19
multi miller in affine,,,,,45811638.0,ns,19
multi miller in affine,,,,,46274819.0,ns,19
multi miller in affine,,,,,45223343.0,ns,19
multi miller in affine,,,,,45398827.0,ns,19
multi miller in affine,,,,,46552572.0,ns,19
multi miller in affine,,,,,47902634.0,ns,19
multi miller in affine,,,,,48584698.0,ns,19
multi miller in affine,,,,,48548636.0,ns,19
multi miller in affine,,,,,48846222.0,ns,19
multi miller in affine,,,,,55663245.0,ns,19
multi miller in affine,,,,,47055975.0,ns,19
multi miller in affine,,,,,47801901.0,ns,19
multi miller in affine,,,,,46497505.0,ns,19
multi miller in affine,,,,,51980063.0,ns,19
multi miller in affine,,,,,49640857.0,ns,19
multi miller in affine,,,,,52586578.0,ns,19
multi miller in affine,,,,,53120102.0,ns,19
multi miller in affine,,,,,52330631.0,ns,19
multi miller in affine,,,,,51080091.0,ns,19
multi miller in affine,,,,,49751429.0,ns,19
multi miller in affine,,,,,48507841.0,ns,19
multi miller in affine,,,,,49308250.0,ns,19
multi miller in affine,,,,,49946082.0,ns,19
multi miller in affine,,,,,48710084.0,ns,19
multi miller in affine,,,,,49658166.0,ns,19
multi miller in affine,,,,,51559539.0,ns,19
multi miller in affine,,,,,52313623.0,ns,19
multi miller in affine,,,,,51990647.0,ns,19
multi miller in affine,,,,,50287737.0,ns,19
multi miller in affine,,,,,55174897.0,ns,19
multi miller in affine,,,,,52363034.0,ns,19
multi miller in affine,,,,,52014528.0,ns,19
multi miller in affine,,,,,53238003.0,ns,19
multi miller in affine,,,,,52148466.0,ns,19
multi miller in affine,,,,,52129830.0,ns,19
multi miller in affine,,,,,52118788.0,ns,19
multi miller in affine,,,,,50305255.0,ns,19
multi miller in affine,,,,,48385581.0,ns,19
multi miller in affine,,,,,47089768.0,ns,19
multi miller in affine,,,,,49123857.0,ns,19
multi miller in affine,,,,,49268554.0,ns,19
multi miller in affine,,,,,48376901.0,ns,19
multi miller in affine,,,,,49411701.0,ns,19
multi miller in affine,,,,,49755347.0,ns,19
multi miller in affine,,,,,47983892.0,ns,19
multi miller in affine,,,,,47481246.0,ns,19
multi miller in affine,,,,,51840687.0,ns,19
multi miller in affine,,,,,47807858.0,ns,19
multi miller in affine,,,,,45168830.0,ns,19
