group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi miller in affine,,,,,54941304.0,ns,20
multi miller in affine,,,,,55081777.0,ns,20
multi miller in affine,,,,,56012419.0,ns,20
multi miller in affine,,,,,54860167.0,ns,20
multi miller in affine,,,,,52554653.0,ns,20
multi miller in affine,,,,,51813376.0,ns,20
multi miller in affine,,,,,54979222.0,ns,20
multi miller in affine,,,,,56854403.0,ns,20
multi miller in affine,,,,,54373185.0,ns,20
multi miller in affine,,,,,53061573.0,ns,20
multi miller in affine,,,,,55416520.0,ns,20
multi miller in affine,,,,,56426303.0,ns,20
multi miller in affine,,,,,55086881.0,ns,20
multi miller in affine,,,,,55677015.0,ns,20
multi miller in affine,,,,,55044160.0,ns,20
multi miller in affine,,,,,55059524.0,ns,20
multi miller in affine,,,,,55602966.0,ns,20
multi miller in affine,,,,,55440709.0,ns,20
multi miller in affine,,,,,54590604.0,ns,20
multi miller in affine,,,,,56235365.0,ns,20
multi miller in affine,,,,,55028095.0,ns,20
multi miller in affine,,,,,54391399.0,ns,20
multi miller in affine,,,,,53986452.0,ns,20
multi miller in affine,,,,,55583878.0,ns,20
multi miller in affine,,,,,56504665.0,ns,20
multi miller in affine,,,,,56251737.0,ns,20
multi miller in affine,,,,,54650325.0,ns,20
multi miller in affine,,,,,53747418.0,ns,20
multi miller in affine,,,,,55984548.0,ns,20
multi miller in affine,,,,,55371202.0,ns,20
multi miller in affine,,,,,54775763.0,ns,20
multi miller in affine,,,,,53615422.0,ns,20
multi miller in affine,,,,,54464108.0,ns,20
multi miller in affine,,,,,55027443.0,ns,20
multi miller in affine,,,,,54946606.0,ns,20
multi miller in affine,,,,,55108089.0,ns,20
multi miller in affine,,,,,53526645.0,ns,20
multi miller in affine,,,,,53786849.0,ns,20
multi miller in affine,,,,,53769799.0,ns,20
multi miller in affine,,,,,53549414.0,ns,20
multi miller in affine,,,,,51515580.0,ns,20
multi miller in affine,,,,,53627661.0,ns,20
multi miller in affine,,,,,52361959.0,ns,20
multi miller in affine,,,,,53917346.0,ns,20
multi miller in affine,,,,,54160233.0,ns,20
multi miller in affine,,,,,53815091.0,ns,20
multi miller in affine,,,,,52620490.0,ns,20
multi miller in affine,,,,,56519209.0,ns,20
multi miller in affine,,,,,53518146.0,ns,20
multi miller in affine,,,,,54315311.0,ns,20
multi miller in affine,,,,,52027638.0,ns,20
multi miller in affine,,,,,52940492.0,ns,20
multi miller in affine,,,,,52650964.0,ns,20
multi miller in affine,,,,,53594571.0,ns,20
multi miller in affine,,,,,53866979.0,ns,20
multi miller in affine,,,,,51416008.0,ns,20
multi miller in affine,,,,,53510562.0,ns,20
multi miller in affine,,,,,53151262.0,ns,20
multi miller in affine,,,,,54452632.0,ns,20
multi miller in affine,,,,,51848564.0,ns,20
multi miller in affine,,,,,51476768.0,ns,20
multi miller in affine,,,,,49066030.0,ns,20
multi miller in affine,,,,,51338327.0,ns,20
multi miller in affine,,,,,52499335.0,ns,20
multi miller in affine,,,,,53368270.0,ns,20
multi miller in affine,,,,,51390743.0,ns,20
multi miller in affine,,,,,55898804.0,ns,20
multi miller in affine,,,,,53305122.0,ns,20
multi miller in affine,,,,,53400107.0,ns,20
multi miller in affine,,,,,54316906.0,ns,20
multi miller in affine,,,,,54491520.0,ns,20
multi miller in affine,,,,,55154151.0,ns,20
multi miller in affine,,,,,54805897.0,ns,20
multi miller in affine,,,,,54857952.0,ns,20
multi miller in affine,,,,,53424579.0,ns,20
multi miller in affine,,,,,54237541.0,ns,20
multi miller in affine,,,,,54432775.0,ns,20
multi miller in affine,,,,,54245596.0,ns,20
multi miller in affine,,,,,55839666.0,ns,20
multi miller in affine,,,,,55236934.0,ns,20
multi miller in affine,,,,,54113373.0,ns,20
multi miller in affine,,,,,51681757.0,ns,20
multi miller in affine,,,,,54835724.0,ns,20
multi miller in affine,,,,,54391857.0,ns,20
multi miller in affine,,,,,55627736.0,ns,20
multi miller in affine,,,,,54537033.0,ns,20
multi miller in affine,,,,,54790155.0,ns,20
multi miller in affine,,,,,54235200.0,ns,20
multi miller in affine,,,,,54394232.0,ns,20
multi miller in affine,,,,,54195202.0,ns,20
multi miller in affine,,,,,53478267.0,ns,20
multi miller in affine,,,,,54256964.0,ns,20
multi miller in affine,,,,,55448546.0,ns,20
multi miller in affine,,,,,55587011.0,ns,20
multi miller in affine,,,,,55089990.0,ns,20
multi miller in affine,,,,,55095274.0,ns,20
multi miller in affine,,,,,54784940.0,ns,20
multi miller in affine,,,,,55228592.0,ns,20
multi miller in affine,,,,,54416429.0,ns,20
multi miller in affine,,,,,54514873.0,ns,20
