group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
multi miller with prepared g2,,,,,53944272.0,ns,25
multi miller with prepared g2,,,,,48558350.0,ns,25
multi miller with prepared g2,,,,,48885637.0,ns,25
multi miller with prepared g2,,,,,51119707.0,ns,25
multi miller with prepared g2,,,,,52371598.0,ns,25
multi miller with prepared g2,,,,,55771071.0,ns,25
multi miller with prepared g2,,,,,59284079.0,ns,25
multi miller with prepared g2,,,,,58664511.0,ns,25
multi miller with prepared g2,,,,,58727034.0,ns,25
multi miller with prepared g2,,,,,58172983.0,ns,25
multi miller with prepared g2,,,,,53026285.0,ns,25
multi miller with prepared g2,,,,,50669732.0,ns,25
multi miller with prepared g2,,,,,50603167.0,ns,25
multi miller with prepared g2,,,,,49887870.0,ns,25
multi miller with prepared g2,,,,,51356407.0,ns,25
multi miller with prepared g2,,,,,49349778.0,ns,25
multi miller with prepared g2,,,,,50738267.0,ns,25
multi miller with prepared g2,,,,,51355724.0,ns,25
multi miller with prepared g2,,,,,55385221.0,ns,25
multi miller with prepared g2,,,,,58297317.0,ns,25
multi miller with prepared g2,,,,,57471811.0,ns,25
multi miller with prepared g2,,,,,55539630.0,ns,25
multi miller with prepared g2,,,,,49531410.0,ns,25
multi miller with prepared g2,,,,,49724166.0,ns,25
multi miller with prepared g2,,,,,52246340.0,ns,25
multi miller with prepared g2,,,,,49925810.0,ns,25
multi miller with prepared g2,,,,,50354591.0,ns,25
multi miller with prepared g2,,,,,61721590.0,ns,25
multi miller with prepared g2,,,,,58500197.0,ns,25
multi miller with prepared g2,,,,,59071323.0,ns,25
multi miller with prepared g2,,,,,58389197.0,ns,25
multi miller with prepared g2,,,,,56964934.0,ns,25
multi miller with prepared g2,,,,,53847460.0,ns,25
multi miller with prepared g2,,,,,51108122.0,ns,25
multi miller with prepared g2,,,,,49767100.0,ns,25
multi miller with prepared g2,,,,,50412194.0,ns,25
multi miller with prepared g2,,,,,50373303.0,ns,25
multi miller with prepared g2,,,,,50881426.0,ns,25
multi miller with prepared g2,,,,,50824423.0,ns,25
multi miller with prepared g2,,,,,52391645.0,ns,25
multi miller with prepared g2,,,,,56051710.0,ns,25
multi miller with prepared g2,,,,,58923401.0,ns,25
multi miller with prepared g2,,,,,58146628.0,ns,25
multi miller with prepared g2,,,,,54429468.0,ns,25
multi miller with prepared g2,,,,,51731191.0,ns,25
multi miller with prepared g2,,,,,52475166.0,ns,25
multi miller with prepared g2,,,,,50495071.0,ns,25
multi miller with prepared g2,,,,,50951598.0,ns,25
multi miller with prepared g2,,,,,49788619.0,ns,25
multi miller with prepared g2,,,,,48490890.0,ns,25
multi miller with prepared g2,,,,,50252534.0,ns,25
multi miller with prepared g2,,,,,55694524.0,ns,25
multi miller with prepared g2,,,,,50201822.0,ns,25
multi miller with prepared g2,,,,,49943267.0,ns,25
multi miller with prepared g2,,,,,50192392.0,ns,25
multi miller with prepared g2,,,,,49518483.0,ns,25
multi miller with prepared g2,,,,,50349144.0,ns,25
multi miller with prepared g2,,,,,50401302.0,ns,25
multi miller with prepared g2,,,,,51067524.0,ns,25
multi miller with prepared g2,,,,,50218712.0,ns,25
multi miller with prepared g2,,,,,50018788.0,ns,25
multi miller with prepared g2,,,,,49862144.0,ns,25
multi miller with prepared g2,,,,,50321754.0,ns,25
multi miller with prepared g2,,,,,49818837.0,ns,25
multi miller with prepared g2,,,,,49713502.0,ns,25
multi miller with prepared g2,,,,,53475048.0,ns,25
multi miller with prepared g2,,,,,49878874.0,ns,25
multi miller with prepared g2,,,,,51384251.0,ns,25
multi miller with prepared g2,,,,,51621119.0,ns,25
multi miller with prepared g2,,,,,50152434.0,ns,25
multi miller with prepared g2,,,,,49321085.0,ns,25
multi miller with prepared g2,,,,,53446279.0,ns,25
multi miller with prepared g2,,,,,51580746.0,ns,25
multi miller with prepared g2,,,,,52025928.0,ns,25
multi miller with prepared g2,,,,,52312257.0,ns,25
multi miller with prepared g2,,,,,50715876.0,ns,25
multi miller with prepared g2,,,,,49537178.0,ns,25
multi miller with prepared g2,,,,,49103648.0,ns,25
multi miller with prepared g2,,,,,49156644.0,ns,25
multi miller with prepared g2,,,,,49678792.0,ns,25
multi miller with prepared g2,,,,,49037912.0,ns,25
multi miller with prepared g2,,,,,50751951.0,ns,25
multi miller with prepared g2,,,,,48883551.0,ns,25
multi miller with prepared g2,,,,,52576651.0,ns,25
multi miller with prepared g2,,,,,51903297.0,ns,25
multi miller with prepared g2,,,,,55789752.0,ns,25
multi miller with prepared g2,,,,,54784216.0,ns,25
multi miller with prepared g2,,,,,50220694.0,ns,25
multi miller with prepared g2,,,,,48971798.0,ns,25
multi miller with prepared g2,,,,,51358323.0,ns,25
multi miller with prepared g2,,,,,59256261.0,ns,25
multi miller with prepared g2,,,,,55639821.0,ns,25
multi miller with prepared g2,,,,,49605530.0,ns,25
multi miller with prepared g2,,,,,50679111.0,ns,25
multi miller with prepared g2,,,,,49451479.0,ns,25
multi miller with prepared g2,,,,,50824413.0,ns,25
multi miller with prepared g2,,,,,52294532.0,ns,25
multi miller with prepared g2,,,,,50820701.0,ns,25
multi miller with prepared g2,,,,,49305766.0,ns,25
multi miller with prepared g2,,,,,50003668.0,ns,25
