group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
prepare_blind_sign,,,,,63840364.0,ns,5
prepare_blind_sign,,,,,61485336.0,ns,5
prepare_blind_sign,,,,,59348645.0,ns,5
prepare_blind_sign,,,,,60281054.0,ns,5
prepare_blind_sign,,,,,58589320.0,ns,5
prepare_blind_sign,,,,,62872395.0,ns,5
prepare_blind_sign,,,,,60019843.0,ns,5
prepare_blind_sign,,,,,60013805.0,ns,5
prepare_blind_sign,,,,,60261953.0,ns,5
prepare_blind_sign,,,,,59155129.0,ns,5
prepare_blind_sign,,,,,60223549.0,ns,5
prepare_blind_sign,,,,,60714777.0,ns,5
prepare_blind_sign,,,,,58759786.0,ns,5
prepare_blind_sign,,,,,59968355.0,ns,5
prepare_blind_sign,,,,,59660545.0,ns,5
prepare_blind_sign,,,,,59902125.0,ns,5
prepare_blind_sign,,,,,60707424.0,ns,5
prepare_blind_sign,,,,,61083673.0,ns,5
prepare_blind_sign,,,,,60429081.0,ns,5
prepare_blind_sign,,,,,60507500.0,ns,5
prepare_blind_sign,,,,,59837892.0,ns,5
prepare_blind_sign,,,,,61724086.0,ns,5
prepare_blind_sign,,,,,63717870.0,ns,5
prepare_blind_sign,,,,,61298765.0,ns,5
prepare_blind_sign,,,,,59643579.0,ns,5
prepare_blind_sign,,,,,60055450.0,ns,5
prepare_blind_sign,,,,,60895306.0,ns,5
prepare_blind_sign,,,,,63221231.0,ns,5
prepare_blind_sign,,,,,58819792.0,ns,5
prepare_blind_sign,,,,,60390932.0,ns,5
prepare_blind_sign,,,,,59540968.0,ns,5
prepare_blind_sign,,,,,59144031.0,ns,5
prepare_blind_sign,,,,,60806060.0,ns,5
prepare_blind_sign,,,,,61900225.0,ns,5
prepare_blind_sign,,,,,60539048.0,ns,5
prepare_blind_sign,,,,,60776551.0,ns,5
prepare_blind_sign,,,,,59591165.0,ns,5
prepare_blind_sign,,,,,60660347.0,ns,5
prepare_blind_sign,,,,,61865635.0,ns,5
prepare_blind_sign,,,,,58622330.0,ns,5
prepare_blind_sign,,,,,60386051.0,ns,5
prepare_blind_sign,,,,,58377182.0,ns,5
prepare_blind_sign,,,,,60441841.0,ns,5
prepare_blind_sign,,,,,59342046.0,ns,5
prepare_blind_sign,,,,,63216394.0,ns,5
prepare_blind_sign,,,,,60148568.0,ns,5
prepare_blind_sign,,,,,60209052.0,ns,5
prepare_blind_sign,,,,,58827463.0,ns,5
prepare_blind_sign,,,,,59934772.0,ns,5
prepare_blind_sign,,,,,58340926.0,ns,5
prepare_blind_sign,,,,,59026947.0,ns,5
prepare_blind_sign,,,,,57994255.0,ns,5
prepare_blind_sign,,,,,60484018.0,ns,5
prepare_blind_sign,,,,,58615589.0,ns,5
prepare_blind_sign,,,,,58759412.0,ns,5
prepare_blind_sign,,,,,62561387.0,ns,5
prepare_blind_sign,,,,,61335381.0,ns,5
prepare_blind_sign,,,,,59993548.0,ns,5
prepare_blind_sign,,,,,61567012.0,ns,5
prepare_blind_sign,,,,,58221216.0,ns,5
prepare_blind_sign,,,,,61487268.0,ns,5
prepare_blind_sign,,,,,61451276.0,ns,5
prepare_blind_sign,,,,,60644188.0,ns,5
prepare_blind_sign,,,,,61344464.0,ns,5
prepare_blind_sign,,,,,60011350.0,ns,5
prepare_blind_sign,,,,,62199743.0,ns,5
prepare_blind_sign,,,,,60268773.0,ns,5
prepare_blind_sign,,,,,58556304.0,ns,5
prepare_blind_sign,,,,,60165851.0,ns,5
prepare_blind_sign,,,,,61594321.0,ns,5
prepare_blind_sign,,,,,58343803.0,ns,5
prepare_blind_sign,,,,,60218535.0,ns,5
prepare_blind_sign,,,,,60682805.0,ns,5
prepare_blind_sign,,,,,60424924.0,ns,5
prepare_blind_sign,,,,,61396032.0,ns,5
prepare_blind_sign,,,,,58949806.0,ns,5
prepare_blind_sign,,,,,59862664.0,ns,5
prepare_blind_sign,,,,,61588747.0,ns,5
prepare_blind_sign,,,,,58310795.0,ns,5
prepare_blind_sign,,,,,60136599.0,ns,5
prepare_blind_sign,,,,,58553485.0,ns,5
prepare_blind_sign,,,,,59463317.0,ns,5
prepare_blind_sign,,,,,59601238.0,ns,5
prepare_blind_sign,,,,,59223428.0,ns,5
prepare_blind_sign,,,,,58672947.0,ns,5
prepare_blind_sign,,,,,63051503.0,ns,5
prepare_blind_sign,,,,,63935061.0,ns,5
prepare_blind_sign,,,,,59668502.0,ns,5
prepare_blind_sign,,,,,61792992.0,ns,5
prepare_blind_sign,,,,,61024428.0,ns,5
prepare_blind_sign,,,,,65926764.0,ns,5
prepare_blind_sign,,,,,61459442.0,ns,5
prepare_blind_sign,,,,,59386219.0,ns,5
prepare_blind_sign,,,,,60344705.0,ns,5
prepare_blind_sign,,,,,62247617.0,ns,5
prepare_blind_sign,,,,,60817478.0,ns,5
prepare_blind_sign,,,,,59505465.0,ns,5
prepare_blind_sign,,,,,59517673.0,ns,5
prepare_blind_sign,,,,,60024269.0,ns,5
prepare_blind_sign,,,,,60120766.0,ns,5
