group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
produce_blinded_signatures_100_authorities_1_attributes,,,,,2841872362.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2813696789.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2938302782.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2906781608.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2882341648.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2966167769.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2769563242.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2703140431.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2739879974.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2972353769.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2703476608.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2758928482.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2753314041.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2635361087.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2608030992.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2825945571.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2871252229.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2884722348.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2843295459.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2709460503.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2611021643.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2924769098.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2939785526.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2983868512.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2989814693.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2956408992.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2926970609.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2885051846.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2911162286.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2874328395.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2939577884.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2932101089.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2892689159.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2920589824.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2824062740.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2878497249.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2865144390.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2607769393.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2578285022.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2780465062.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2790161775.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2612864163.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2698680196.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2795765309.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2834612695.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2872244359.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2901267385.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2929755683.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2926437308.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2863522650.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2634512833.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2769121042.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2915698134.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2901772694.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,3006914014.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2978861817.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2782123863.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2730932065.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2697380857.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2613704505.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2638065032.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2658145985.0,ns,1
produce_blinded_signatures_100_authorities_1_attributes,,,,,2981693456.0,ns,1
