group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
produce_blinded_signatures_10_authorities_1_attributes,,,,,254791400.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,241491741.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,228883481.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,227321718.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,239577758.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,233106845.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,228830196.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,232026815.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,234064483.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,228707930.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,225506120.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,233146207.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,226364715.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,229897414.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,228947011.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,237176914.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,254753951.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,267237548.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,261019647.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,255113311.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,259987829.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,261373392.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,266699960.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,261788471.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,231790511.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,231906424.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,236582830.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,227196181.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,233059123.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,233134128.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,237041364.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,227560493.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,233572756.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,247689719.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,263751272.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,259410903.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,257433662.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,247110123.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,230104041.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,230521886.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,233781389.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,237977381.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,228293072.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,226929937.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,230473668.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,232262398.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,228960550.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,239212954.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,228480087.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,243375617.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,236726208.0,ns,1
produce_blinded_signatures_10_authorities_1_attributes,,,,,230571670.0,ns,1
