group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
produce_blinded_signatures_200_authorities,,,,,6035742061.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6041405650.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6063842369.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6057666095.0,ns,1
produce_blinded_signatures_200_authorities,,,,,5996467260.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6029685493.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6083289372.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6118642484.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6259771622.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6143101978.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6588164878.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6416212422.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6457378216.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6237918416.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6326076563.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6376267642.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6252921807.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6351352947.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6542620597.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6473817252.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6562695492.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6753663912.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6736150133.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6698615849.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6727063916.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6896237255.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6721209918.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6775980565.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6771664283.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6668847150.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6845090589.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6754065156.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6613982073.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6763248391.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6727834000.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6889101970.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6728485735.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6599280353.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6486943552.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6235343789.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6352853869.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6711778744.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6676435961.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6446739448.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6358088753.0,ns,1
produce_blinded_signatures_200_authorities,,,,,6468856792.0,ns,1
