group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
prove_credential,,,,,59493689.0,ns,4
prove_credential,,,,,59539061.0,ns,4
prove_credential,,,,,57214768.0,ns,4
prove_credential,,,,,56578152.0,ns,4
prove_credential,,,,,60246275.0,ns,4
prove_credential,,,,,62736457.0,ns,4
prove_credential,,,,,59771265.0,ns,4
prove_credential,,,,,56646168.0,ns,4
prove_credential,,,,,56663174.0,ns,4
prove_credential,,,,,56606471.0,ns,4
prove_credential,,,,,55958302.0,ns,4
prove_credential,,,,,55943825.0,ns,4
prove_credential,,,,,55459739.0,ns,4
prove_credential,,,,,56400266.0,ns,4
prove_credential,,,,,59626537.0,ns,4
prove_credential,,,,,55766320.0,ns,4
prove_credential,,,,,58851389.0,ns,4
prove_credential,,,,,59521070.0,ns,4
prove_credential,,,,,65392667.0,ns,4
prove_credential,,,,,60514751.0,ns,4
prove_credential,,,,,62351064.0,ns,4
prove_credential,,,,,58542469.0,ns,4
prove_credential,,,,,55702925.0,ns,4
prove_credential,,,,,56607352.0,ns,4
prove_credential,,,,,55688288.0,ns,4
prove_credential,,,,,56403167.0,ns,4
prove_credential,,,,,55858854.0,ns,4
prove_credential,,,,,55263177.0,ns,4
prove_credential,,,,,55780516.0,ns,4
prove_credential,,,,,55230038.0,ns,4
prove_credential,,,,,56629100.0,ns,4
prove_credential,,,,,58222305.0,ns,4
prove_credential,,,,,56451114.0,ns,4
prove_credential,,,,,56589603.0,ns,4
prove_credential,,,,,57522875.0,ns,4
prove_credential,,,,,63864787.0,ns,4
prove_credential,,,,,63836314.0,ns,4
prove_credential,,,,,67658929.0,ns,4
prove_credential,,,,,60002284.0,ns,4
prove_credential,,,,,57994003.0,ns,4
prove_credential,,,,,57514756.0,ns,4
prove_credential,,,,,56598533.0,ns,4
prove_credential,,,,,55785166.0,ns,4
prove_credential,,,,,55288358.0,ns,4
prove_credential,,,,,58389799.0,ns,4
prove_credential,,,,,56192616.0,ns,4
prove_credential,,,,,56407264.0,ns,4
prove_credential,,,,,59752417.0,ns,4
prove_credential,,,,,60366272.0,ns,4
prove_credential,,,,,58590784.0,ns,4
prove_credential,,,,,56347509.0,ns,4
prove_credential,,,,,56397988.0,ns,4
prove_credential,,,,,59513461.0,ns,4
prove_credential,,,,,57850188.0,ns,4
prove_credential,,,,,55594505.0,ns,4
prove_credential,,,,,56297470.0,ns,4
prove_credential,,,,,55783519.0,ns,4
prove_credential,,,,,56170705.0,ns,4
prove_credential,,,,,54631021.0,ns,4
prove_credential,,,,,55605267.0,ns,4
prove_credential,,,,,56740413.0,ns,4
prove_credential,,,,,55008126.0,ns,4
prove_credential,,,,,55054507.0,ns,4
prove_credential,,,,,55382043.0,ns,4
prove_credential,,,,,55428590.0,ns,4
prove_credential,,,,,56705369.0,ns,4
prove_credential,,,,,64078112.0,ns,4
prove_credential,,,,,56337572.0,ns,4
prove_credential,,,,,55745116.0,ns,4
prove_credential,,,,,55641049.0,ns,4
prove_credential,,,,,59592725.0,ns,4
prove_credential,,,,,57877594.0,ns,4
prove_credential,,,,,57446845.0,ns,4
prove_credential,,,,,55481545.0,ns,4
prove_credential,,,,,55442146.0,ns,4
prove_credential,,,,,56154736.0,ns,4
prove_credential,,,,,55946044.0,ns,4
prove_credential,,,,,57692489.0,ns,4
prove_credential,,,,,56933364.0,ns,4
prove_credential,,,,,59628931.0,ns,4
prove_credential,,,,,58650722.0,ns,4
prove_credential,,,,,56255537.0,ns,4
prove_credential,,,,,56468938.0,ns,4
prove_credential,,,,,58553941.0,ns,4
prove_credential,,,,,56667861.0,ns,4
prove_credential,,,,,56623487.0,ns,4
prove_credential,,,,,56100154.0,ns,4
prove_credential,,,,,56903514.0,ns,4
prove_credential,,,,,58393471.0,ns,4
prove_credential,,,,,56526799.0,ns,4
prove_credential,,,,,56801205.0,ns,4
prove_credential,,,,,56290997.0,ns,4
prove_credential,,,,,55675838.0,ns,4
prove_credential,,,,,55890704.0,ns,4
prove_credential,,,,,56860589.0,ns,4
prove_credential,,,,,55719599.0,ns,4
prove_credential,,,,,56105947.0,ns,4
prove_credential,,,,,57797876.0,ns,4
prove_credential,,,,,55296294.0,ns,4
prove_credential,,,,,57277170.0,ns,4
