group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ttp_keygen,,,,,59968979.0,ns,2
ttp_keygen,,,,,56492257.0,ns,2
ttp_keygen,,,,,56415112.0,ns,2
ttp_keygen,,,,,57507923.0,ns,2
ttp_keygen,,,,,55449721.0,ns,2
ttp_keygen,,,,,57829861.0,ns,2
ttp_keygen,,,,,56159302.0,ns,2
ttp_keygen,,,,,55058227.0,ns,2
ttp_keygen,,,,,56397536.0,ns,2
ttp_keygen,,,,,56353441.0,ns,2
ttp_keygen,,,,,60081024.0,ns,2
ttp_keygen,,,,,63527626.0,ns,2
ttp_keygen,,,,,67124793.0,ns,2
ttp_keygen,,,,,64522077.0,ns,2
ttp_keygen,,,,,64639093.0,ns,2
ttp_keygen,,,,,65014099.0,ns,2
ttp_keygen,,,,,61698627.0,ns,2
ttp_keygen,,,,,59056100.0,ns,2
ttp_keygen,,,,,59546260.0,ns,2
ttp_keygen,,,,,57005347.0,ns,2
ttp_keygen,,,,,70271231.0,ns,2
ttp_keygen,,,,,64900810.0,ns,2
ttp_keygen,,,,,63858678.0,ns,2
ttp_keygen,,,,,56728212.0,ns,2
ttp_keygen,,,,,55643531.0,ns,2
ttp_keygen,,,,,54921138.0,ns,2
ttp_keygen,,,,,57516453.0,ns,2
ttp_keygen,,,,,54778339.0,ns,2
ttp_keygen,,,,,56365230.0,ns,2
ttp_keygen,,,,,57082950.0,ns,2
ttp_keygen,,,,,58483987.0,ns,2
ttp_keygen,,,,,56699486.0,ns,2
ttp_keygen,,,,,58057309.0,ns,2
ttp_keygen,,,,,57202062.0,ns,2
ttp_keygen,,,,,55804026.0,ns,2
ttp_keygen,,,,,56141584.0,ns,2
ttp_keygen,,,,,56123119.0,ns,2
ttp_keygen,,,,,54751858.0,ns,2
ttp_keygen,,,,,56188927.0,ns,2
ttp_keygen,,,,,58143438.0,ns,2
ttp_keygen,,,,,55709089.0,ns,2
ttp_keygen,,,,,56302247.0,ns,2
ttp_keygen,,,,,55711089.0,ns,2
ttp_keygen,,,,,55596919.0,ns,2
ttp_keygen,,,,,56117862.0,ns,2
ttp_keygen,,,,,54763971.0,ns,2
ttp_keygen,,,,,56230754.0,ns,2
ttp_keygen,,,,,57771120.0,ns,2
ttp_keygen,,,,,56757711.0,ns,2
ttp_keygen,,,,,55688509.0,ns,2
ttp_keygen,,,,,58646116.0,ns,2
ttp_keygen,,,,,56850613.0,ns,2
ttp_keygen,,,,,56876875.0,ns,2
ttp_keygen,,,,,55271367.0,ns,2
ttp_keygen,,,,,54790350.0,ns,2
ttp_keygen,,,,,58269151.0,ns,2
ttp_keygen,,,,,56595218.0,ns,2
ttp_keygen,,,,,55883998.0,ns,2
ttp_keygen,,,,,56710802.0,ns,2
ttp_keygen,,,,,54959234.0,ns,2
ttp_keygen,,,,,55284342.0,ns,2
ttp_keygen,,,,,55761558.0,ns,2
ttp_keygen,,,,,54897399.0,ns,2
ttp_keygen,,,,,56078335.0,ns,2
ttp_keygen,,,,,56275999.0,ns,2
ttp_keygen,,,,,56311700.0,ns,2
ttp_keygen,,,,,56603579.0,ns,2
ttp_keygen,,,,,55039510.0,ns,2
ttp_keygen,,,,,58282848.0,ns,2
ttp_keygen,,,,,55286121.0,ns,2
ttp_keygen,,,,,55475148.0,ns,2
ttp_keygen,,,,,58830252.0,ns,2
ttp_keygen,,,,,55508993.0,ns,2
ttp_keygen,,,,,54816065.0,ns,2
ttp_keygen,,,,,56008627.0,ns,2
ttp_keygen,,,,,57016833.0,ns,2
ttp_keygen,,,,,55996346.0,ns,2
ttp_keygen,,,,,55524976.0,ns,2
ttp_keygen,,,,,54926955.0,ns,2
ttp_keygen,,,,,56485712.0,ns,2
ttp_keygen,,,,,55757946.0,ns,2
ttp_keygen,,,,,55196340.0,ns,2
ttp_keygen,,,,,56384310.0,ns,2
ttp_keygen,,,,,57165050.0,ns,2
ttp_keygen,,,,,57279994.0,ns,2
ttp_keygen,,,,,55016938.0,ns,2
ttp_keygen,,,,,58815980.0,ns,2
ttp_keygen,,,,,55708614.0,ns,2
ttp_keygen,,,,,55537522.0,ns,2
ttp_keygen,,,,,55455595.0,ns,2
ttp_keygen,,,,,55516179.0,ns,2
ttp_keygen,,,,,54584364.0,ns,2
ttp_keygen,,,,,55191741.0,ns,2
ttp_keygen,,,,,58384991.0,ns,2
ttp_keygen,,,,,55141448.0,ns,2
ttp_keygen,,,,,54388195.0,ns,2
ttp_keygen,,,,,56059741.0,ns,2
ttp_keygen,,,,,55227363.0,ns,2
ttp_keygen,,,,,56058091.0,ns,2
ttp_keygen,,,,,58371796.0,ns,2
