group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
unblind,,,,,1294792.0,ns,1
unblind,,,,,2585416.0,ns,2
unblind,,,,,3965828.0,ns,3
unblind,,,,,5265781.0,ns,4
unblind,,,,,6736133.0,ns,5
unblind,,,,,7980343.0,ns,6
unblind,,,,,9129873.0,ns,7
unblind,,,,,10541945.0,ns,8
unblind,,,,,11776997.0,ns,9
unblind,,,,,13073845.0,ns,10
unblind,,,,,14503469.0,ns,11
unblind,,,,,15789938.0,ns,12
unblind,,,,,17098001.0,ns,13
unblind,,,,,18249543.0,ns,14
unblind,,,,,19748721.0,ns,15
unblind,,,,,21038849.0,ns,16
unblind,,,,,22501288.0,ns,17
unblind,,,,,23675917.0,ns,18
unblind,,,,,24955838.0,ns,19
unblind,,,,,26217790.0,ns,20
unblind,,,,,27471263.0,ns,21
unblind,,,,,28896612.0,ns,22
unblind,,,,,30583199.0,ns,23
unblind,,,,,31591230.0,ns,24
unblind,,,,,32879013.0,ns,25
unblind,,,,,34205542.0,ns,26
unblind,,,,,35254041.0,ns,27
unblind,,,,,36381750.0,ns,28
unblind,,,,,38623999.0,ns,29
unblind,,,,,39465685.0,ns,30
unblind,,,,,40135408.0,ns,31
unblind,,,,,39759913.0,ns,32
unblind,,,,,39569788.0,ns,33
unblind,,,,,41021588.0,ns,34
unblind,,,,,42648332.0,ns,35
unblind,,,,,44673880.0,ns,36
unblind,,,,,47126560.0,ns,37
unblind,,,,,45168111.0,ns,38
unblind,,,,,50985333.0,ns,39
unblind,,,,,47131573.0,ns,40
unblind,,,,,48507959.0,ns,41
unblind,,,,,48078438.0,ns,42
unblind,,,,,49896752.0,ns,43
unblind,,,,,50318604.0,ns,44
unblind,,,,,53265715.0,ns,45
unblind,,,,,52695526.0,ns,46
unblind,,,,,53815050.0,ns,47
unblind,,,,,55154521.0,ns,48
unblind,,,,,54901516.0,ns,49
unblind,,,,,59736574.0,ns,50
unblind,,,,,59723468.0,ns,51
unblind,,,,,59729723.0,ns,52
unblind,,,,,59977782.0,ns,53
unblind,,,,,60574541.0,ns,54
unblind,,,,,70715242.0,ns,55
unblind,,,,,91307572.0,ns,56
unblind,,,,,73341903.0,ns,57
unblind,,,,,66867895.0,ns,58
unblind,,,,,66104291.0,ns,59
unblind,,,,,68383686.0,ns,60
unblind,,,,,68459931.0,ns,61
unblind,,,,,73289125.0,ns,62
unblind,,,,,72837742.0,ns,63
unblind,,,,,72771136.0,ns,64
unblind,,,,,75229644.0,ns,65
unblind,,,,,77057537.0,ns,66
unblind,,,,,76612944.0,ns,67
unblind,,,,,79218365.0,ns,68
unblind,,,,,77306998.0,ns,69
unblind,,,,,83851736.0,ns,70
unblind,,,,,80346621.0,ns,71
unblind,,,,,83225087.0,ns,72
unblind,,,,,81519104.0,ns,73
unblind,,,,,83348043.0,ns,74
unblind,,,,,84562457.0,ns,75
unblind,,,,,85326941.0,ns,76
unblind,,,,,88798951.0,ns,77
unblind,,,,,86301857.0,ns,78
unblind,,,,,92223538.0,ns,79
unblind,,,,,91432007.0,ns,80
unblind,,,,,91183387.0,ns,81
unblind,,,,,95764404.0,ns,82
unblind,,,,,95253181.0,ns,83
unblind,,,,,94818062.0,ns,84
unblind,,,,,97511583.0,ns,85
unblind,,,,,99166946.0,ns,86
unblind,,,,,97255359.0,ns,87
unblind,,,,,100609057.0,ns,88
unblind,,,,,104645889.0,ns,89
unblind,,,,,103856421.0,ns,90
unblind,,,,,103273099.0,ns,91
unblind,,,,,107510835.0,ns,92
unblind,,,,,107483332.0,ns,93
unblind,,,,,106692522.0,ns,94
unblind,,,,,108603933.0,ns,95
unblind,,,,,108029307.0,ns,96
unblind,,,,,114473228.0,ns,97
unblind,,,,,111824813.0,ns,98
unblind,,,,,110875348.0,ns,99
unblind,,,,,112410158.0,ns,100
