group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
unblind_prove_and_verify_10_authorities,,,,,150482901.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151117256.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150225560.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,145712268.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150648878.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150550122.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151360739.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151876644.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149258532.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,146340872.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,139415929.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,139309544.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,148144618.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,152860438.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149772674.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149869705.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149982796.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,154861831.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150537000.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,141497491.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,152201403.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150699933.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,145801837.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,139597100.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,140672312.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151104626.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,142490424.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,139558492.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,148464880.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,141122693.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151001321.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,152523838.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,153965354.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,135816320.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,146880581.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149992861.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,147682415.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,167363997.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149557426.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149606447.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,148615584.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151007456.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,155951063.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150621737.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,147387868.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150081346.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149757174.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150940655.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,148146147.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150032231.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,139620411.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,145189034.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,144121561.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,144246232.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,147528596.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149585533.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150667165.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,152791040.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149452944.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151237218.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150768901.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,146882058.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150646847.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,147753575.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,152816114.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151143519.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150240853.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,144960910.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,148814138.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,143451156.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,147625677.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,163255430.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150672963.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151510934.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150229416.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150734461.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,149841632.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150342462.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151631604.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151674212.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,153204066.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,153341350.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151432705.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,143501866.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150253598.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151529285.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151761464.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,152847713.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151750544.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151346787.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150793993.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,161434458.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150065917.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,147979394.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,146720850.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,157229623.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,150261315.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,152177724.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,154147501.0,ns,1
unblind_prove_and_verify_10_authorities,,,,,151366473.0,ns,1
