group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
unblind_prove_and_verify_10_authorities_3_attributes,,,,,146112181.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,144116574.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,150051320.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,140983315.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,135960256.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,135602742.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,130046737.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,130489237.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,138657846.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,130752023.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,131345077.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,128720716.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,128819047.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,130557439.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,129330176.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,136327375.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,129822292.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,129999255.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,129053351.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,144303861.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,139412372.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,126689414.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,129375314.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,131653831.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,131814958.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,147830971.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,142233464.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,133534401.0,ns,1
unblind_prove_and_verify_10_authorities_3_attributes,,,,,129592414.0,ns,1
