group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2196970339.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2052550028.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2029440411.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2227023273.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2138131021.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2115268444.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2076844129.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2196917937.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2155773671.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2017330837.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2034039927.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2017716752.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2219816660.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2176110366.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2105853225.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2172829748.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2185074112.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2133574240.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2137815612.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2077392538.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2142013650.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2017869016.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2011238169.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2041566640.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2052895173.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2147790048.0,ns,1
unblind_prove_and_verify_200_authorities_1_attributes,,,,,2240638697.0,ns,1
